time size
7123 1050000
6718 1055000
7562 1060000
6294 1065000
6760 1070000
7430 1075000
7362 1080000
7530 1085000
7607 1090000
6944 1095000
6636 1100000
6735 1105000
7719 1110000
7348 1115000
7606 1120000
7032 1125000
6934 1130000
7062 1135000
7987 1140000
6224 1145000
6431 1150000
6223 1155000
6979 1160000
6681 1165000
7197 1170000
7740 1175000
7834 1180000
7544 1185000
7928 1190000
7697 1195000
7961 1200000
7759 1205000
6434 1210000
7467 1215000
7764 1220000
7639 1225000
7727 1230000
8868 1235000
6485 1240000
6802 1245000
8046 1250000
7724 1255000
8625 1260000
7727 1265000
9439 1270000
7551 1275000
7915 1280000
7946 1285000
7926 1290000
9002 1295000
6586 1300000
7429 1305000
7170 1310000
7961 1315000
8582 1320000
8427 1325000
7491 1330000
9742 1335000
9550 1340000
9574 1345000
9237 1350000
9879 1355000
9387 1360000
8690 1365000
9539 1370000
9867 1375000
8860 1380000
9341 1385000
9050 1390000
9001 1395000
9595 1400000
9826 1405000
9454 1410000
8144 1415000
10640 1420000
9847 1425000
9008 1430000
9957 1435000
9121 1440000
9588 1445000
8853 1450000
8938 1455000
9794 1460000
10049 1465000
9948 1470000
9477 1475000
9319 1480000
9657 1485000
9892 1490000
9718 1495000
9847 1500000
10379 1505000
9852 1510000
10246 1515000
10776 1520000
10117 1525000
10667 1530000
9889 1535000
11671 1540000
11607 1545000
9715 1550000
9840 1555000
10074 1560000
10110 1565000
10427 1570000
10168 1575000
11205 1580000
10265 1585000
9329 1590000
8891 1595000
11932 1600000
9690 1605000
9751 1610000
10119 1615000
9174 1620000
9394 1625000
9073 1630000
10575 1635000
10133 1640000
9695 1645000
11398 1650000
9750 1655000
11265 1660000
10783 1665000
10447 1670000
10169 1675000
10732 1680000
10163 1685000
9903 1690000
10057 1695000
9693 1700000
9636 1705000
10970 1710000
12005 1715000
10066 1720000
10541 1725000
11005 1730000
11954 1735000
10585 1740000
10779 1745000
11361 1750000
11339 1755000
9942 1760000
11323 1765000
11905 1770000
10630 1775000
11755 1780000
11764 1785000
11908 1790000
12417 1795000
12265 1800000
12934 1805000
12728 1810000
13836 1815000
