time size
827 1120100
586 1125100
597 1130100
640 1135100
855 1140100
889 1145100
915 1150100
948 1155100
808 1160100
816 1165100
889 1170100
846 1175100
736 1180100
966 1185100
982 1190100
1093 1195100
1008 1200100
947 1205100
1134 1210100
1025 1215100
1105 1220100
1017 1225100
936 1230100
1088 1235100
1009 1240100
938 1245100
1028 1250100
964 1255100
1058 1260100
1110 1265100
1102 1270100
1025 1275100
1030 1280100
1084 1285100
1135 1290100
992 1295100
1051 1300100
1003 1305100
999 1310100
1085 1315100
1154 1320100
1135 1325100
1145 1330100
1059 1335100
1133 1340100
1146 1345100
1176 1350100
1169 1355100
1159 1360100
1051 1365100
1219 1370100
1191 1375100
1260 1380100
1102 1385100
1079 1390100
1082 1395100
1146 1400100
1374 1405100
1081 1410100
1130 1415100
1212 1420100
1223 1425100
1192 1430100
1159 1435100
1150 1440100
1188 1445100
1219 1450100
1133 1455100
1271 1460100
1282 1465100
1209 1470100
1231 1475100
1238 1480100
1214 1485100
1171 1490100
1284 1495100
1218 1500100
1289 1505100
1237 1510100
1300 1515100
1304 1520100
1230 1525100
1292 1530100
1330 1535100
1181 1540100
1305 1545100
1309 1550100
1205 1555100
1337 1560100
1328 1565100
1294 1570100
1360 1575100
1414 1580100
1284 1585100
1368 1590100
1381 1595100
1518 1600100
1398 1605100
1382 1610100
1441 1615100
1342 1620100
1375 1625100
1404 1630100
1384 1635100
1311 1640100
1438 1645100
1552 1650100
1442 1655100
1432 1660100
1309 1665100
1413 1670100
1496 1675100
1429 1680100
1340 1685100
1429 1690100
1351 1695100
1498 1700100
1399 1705100
1422 1710100
1394 1715100
1531 1720100
1451 1725100
1472 1730100
1473 1735100
1353 1740100
1479 1745100
1469 1750100
1581 1755100
1412 1760100
1500 1765100
1527 1770100
1584 1775100
1660 1780100
1512 1785100
1503 1790100
1543 1795100
1631 1800100
1470 1805100
1539 1810100
1542 1815100
1504 1820100
1477 1825100
1536 1830100
1527 1835100
1569 1840100
1521 1845100
1602 1850100
1493 1855100
