time size
2388 1995000
2061 2000000
2114 2005000
1888 2010000
1903 2015000
1995 2020000
1925 2025000
2206 2030000
2367 2035000
2115 2040000
2027 2045000
1964 2050000
2116 2055000
2113 2060000
2114 2065000
2343 2070000
2060 2075000
1992 2080000
2101 2085000
2049 2090000
2128 2095000
2228 2100000
2037 2105000
2100 2110000
2023 2115000
2168 2120000
2205 2125000
2121 2130000
2115 2135000
2216 2140000
2144 2145000
2057 2150000
2165 2155000
2058 2160000
2149 2165000
2108 2170000
2092 2175000
2107 2180000
2439 2185000
2332 2190000
2102 2195000
2207 2200000
2117 2205000
2133 2210000
2291 2215000
2631 2220000
2110 2225000
2197 2230000
2248 2235000
2463 2240000
2193 2245000
2367 2250000
2302 2255000
2240 2260000
2232 2265000
2168 2270000
2292 2275000
2518 2280000
2235 2285000
2815 2290000
2210 2295000
2378 2300000
2497 2305000
2241 2310000
2530 2315000
2328 2320000
2597 2325000
2303 2330000
2273 2335000
2433 2340000
2431 2345000
2438 2350000
2332 2355000
2362 2360000
2312 2365000
2334 2370000
2448 2375000
2374 2380000
2396 2385000
2373 2390000
2940 2395000
2466 2400000
2400 2405000
2579 2410000
2560 2415000
2403 2420000
2362 2425000
2420 2430000
2768 2435000
2373 2440000
2382 2445000
2406 2450000
3385 2455000
2489 2460000
2488 2465000
2650 2470000
2410 2475000
2719 2480000
2305 2485000
2776 2490000
2358 2495000
2306 2500000
