time size
4148 1225000
4574 1230000
4154 1235000
4384 1240000
4167 1245000
4256 1250000
4658 1255000
4421 1260000
4309 1265000
4357 1270000
4320 1275000
4413 1280000
4318 1285000
4385 1290000
4433 1295000
4847 1300000
4439 1305000
4469 1310000
4875 1315000
4905 1320000
4581 1325000
4483 1330000
5290 1335000
4719 1340000
4582 1345000
5016 1350000
4808 1355000
4581 1360000
4648 1365000
5072 1370000
5428 1375000
5343 1380000
5079 1385000
4932 1390000
4903 1395000
5393 1400000
7374 1405000
5797 1410000
4777 1415000
5450 1420000
5122 1425000
5176 1430000
5038 1435000
4977 1440000
5088 1445000
8212 1450000
5603 1455000
5444 1460000
5455 1465000
4949 1470000
4986 1475000
5738 1480000
5151 1485000
5673 1490000
5487 1495000
5174 1500000
5564 1505000
8123 1510000
7625 1515000
5562 1520000
5604 1525000
5713 1530000
5632 1535000
5808 1540000
6096 1545000
5244 1550000
5324 1555000
5524 1560000
5863 1565000
5650 1570000
5481 1575000
5427 1580000
6084 1585000
5879 1590000
5629 1595000
5781 1600000
5546 1605000
6082 1610000
5634 1615000
6304 1620000
5761 1625000
18543 1630000
5527 1635000
7101 1640000
8068 1645000
7669 1650000
5814 1655000
5872 1660000
5776 1665000
5899 1670000
6533 1675000
6030 1680000
5851 1685000
6424 1690000
6865 1695000
6366 1700000
6192 1705000
5729 1710000
5779 1715000
5779 1720000
5790 1725000
5815 1730000
5851 1735000
5861 1740000
5932 1745000
5859 1750000
5903 1755000
5931 1760000
5935 1765000
6011 1770000
5968 1775000
6027 1780000
6003 1785000
6170 1790000
7495 1795000
7031 1800000
6275 1805000
6894 1810000
9232 1815000
6231 1820000
6905 1825000
6211 1830000
6378 1835000
7839 1840000
9183 1845000
6763 1850000
6314 1855000
7310 1860000
6836 1865000
6394 1870000
7200 1875000
6700 1880000
6869 1885000
6619 1890000
7522 1895000
6428 1900000
6674 1905000
7357 1910000
6522 1915000
7325 1920000
6484 1925000
6494 1930000
6747 1935000
6844 1940000
6567 1945000
6885 1950000
6975 1955000
6980 1960000
7230 1965000
7290 1970000
7858 1975000
7599 1980000
7188 1985000
6794 1990000
6845 1995000
6849 2000000
7364 2005000
8187 2010000
7868 2015000
7178 2020000
7881 2025000
7679 2030000
8377 2035000
7241 2040000
7687 2045000
7312 2050000
7567 2055000
6933 2060000
7664 2065000
8215 2070000
7548 2075000
7364 2080000
7392 2085000
7264 2090000
7172 2095000
7095 2100000
7170 2105000
7121 2110000
7204 2115000
7142 2120000
7293 2125000
7527 2130000
8093 2135000
7263 2140000
7713 2145000
7852 2150000
7814 2155000
7294 2160000
7323 2165000
7669 2170000
7725 2175000
7562 2180000
7493 2185000
7434 2190000
7427 2195000
7506 2200000
7778 2205000
7973 2210000
8024 2215000
8041 2220000
9759 2225000
8571 2230000
8427 2235000
7951 2240000
7597 2245000
7618 2250000
7767 2255000
7731 2260000
7716 2265000
7740 2270000
8009 2275000
8523 2280000
7969 2285000
8135 2290000
7791 2295000
8238 2300000
7980 2305000
7993 2310000
7769 2315000
8128 2320000
7876 2325000
7834 2330000
7859 2335000
7913 2340000
7898 2345000
7906 2350000
8015 2355000
8030 2360000
8061 2365000
9614 2370000
8619 2375000
8581 2380000
8420 2385000
8355 2390000
8476 2395000
9119 2400000
10830 2405000
10506 2410000
9239 2415000
8255 2420000
8372 2425000
8290 2430000
8690 2435000
8774 2440000
8402 2445000
8448 2450000
8591 2455000
8929 2460000
9420 2465000
8812 2470000
9073 2475000
8412 2480000
8936 2485000
8699 2490000
8463 2495000
8393 2500000
